jd,n0,e0,u0,n1,e1,u1,n2,e2,u2,n3,e3,u3
2016-06-07,-380.62800000000004,723.3960000000001,207.532,-268.63599999999997,-397.51399999999995,638.165,-659.4,-262.0,921.731,-773.438,104.81400000000001,126.25999999999998
2016-06-08,-378.882,724.962,207.842,-268.171,-395.567,639.5699999999999,-657.443,-259.936,922.9719999999999,-772.332,106.896,131.326
2016-06-09,-378.189,725.456,211.542,-266.778,-395.25,639.753,-656.2959999999999,-260.246,923.691,-771.675,106.46099999999998,130.642
2016-06-10,-378.14899999999994,723.667,212.99099999999999,-265.756,-397.189,649.126,-656.867,-261.531,929.8910000000001,-770.969,105.583,132.208
2016-06-11,-379.927,724.304,213.502,-266.049,-396.732,642.527,-658.4060000000001,-261.731,926.4709999999999,-772.9050000000001,105.62200000000001,132.155
2016-06-12,-379.45300000000003,724.37,212.22399999999996,-269.241,-398.41900000000004,645.422,-660.426,-260.301,930.1669999999999,-774.862,105.144,134.817
2016-06-13,-379.64799999999997,724.5899999999999,213.03200000000004,-269.072,-397.37100000000004,642.982,-659.683,-260.428,931.9,-772.146,104.157,135.627
2016-06-14,-378.179,727.204,211.681,-269.67600000000004,-394.82399999999996,645.9580000000001,-658.7350000000001,-258.359,928.967,-771.892,107.38699999999999,131.606
2016-06-15,-380.187,725.6329999999999,212.356,-266.911,-397.16200000000003,641.4989999999999,-659.149,-261.22399999999993,925.6600000000001,-772.3879999999999,105.405,131.695
2016-06-16,-380.952,724.486,212.2,-269.90799999999996,-394.546,640.431,-660.58,-262.382,925.674,-772.4680000000001,104.334,129.5
2016-06-17,-379.35,724.431,206.262,-268.81,-394.621,632.7510000000001,-658.363,-261.48,920.483,-770.5390000000001,105.448,129.156
2016-06-18,-380.59299999999996,725.4639999999999,212.08400000000003,-269.46999999999997,-394.706,636.384,-660.317,-260.083,925.7780000000001,-775.3729999999999,106.88900000000001,134.462
2016-06-19,-378.837,724.6080000000001,207.496,-269.817,-394.584,636.378,-659.1329999999999,-261.623,925.543,-772.9229999999999,104.198,135.256
2016-06-20,-380.104,723.296,206.57500000000002,-269.585,-395.299,637.207,-659.501,-261.72399999999993,924.5,-774.3290000000001,104.146,136.332
2016-06-21,-379.457,727.237,208.988,-268.14,-392.66599999999994,631.7470000000001,-658.153,-258.337,923.143,-772.946,108.49300000000001,133.85899999999998
2016-06-22,-381.47700000000003,725.461,209.039,-271.534,-396.011,635.092,-661.5609999999999,-260.077,921.635,-773.342,105.967,126.53399999999998
2016-06-23,-378.139,723.151,208.702,-269.94,-394.701,636.714,-658.681,-261.664,924.507,-768.655,105.755,133.02999999999997
2016-06-24,-379.975,723.543,209.48699999999997,-270.989,-394.693,632.328,-659.894,-262.22,926.2610000000001,-768.4989999999999,103.545,133.026
